PERIOD  Code,PERIOD  Detail,SHOPNAME,PRODUCT,BRAND,MODEL,SALES,PRICE,CHANNELNAME,SHOPSIZE1,REGION,CITY,RAM,ROM,cluster_label,segment
2403M,Maret 2024,17 PHONE,PHABLETS,APPLE,IPHONE 13 128/4GB SIM/ESIM NFC 5G,1.0,10000000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,2,Mid-Range
2403M,Maret 2024,17 PHONE,PHABLETS,APPLE,IPHONE 15 PRO 256/8GB SIM/ESIM NFC 5G,1.0,21999000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,1,Flagship
2403M,Maret 2024,17 PHONE,PHABLETS,INFINIX,HOT 30 128/8GB X6831 DUAL NFC LTE,3.0,1699000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,INFINIX,HOT 30I 128/8GB X669D DUAL NFC LTE,3.0,1700000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,INFINIX,NOTE 30 256/8GB X6833B DUAL NFC LTE,3.0,2450000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,OPPO,A18 128/4GB CPH2591 DUAL LTE,1.0,1599000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,POCO,M5 64/4GB DUAL NFC LTE,1.0,1500000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",4.0,64.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,POCO,X6 256/12GB DUAL NFC 5G,1.0,3500000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",12.0,256.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,POCO,X6 PRO 512/12GB DUAL NFC 5G,5.0,5450000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",12.0,512.0,2,Mid-Range
2403M,Maret 2024,17 PHONE,PHABLETS,REALME,C51 128/4GB DUAL LTE,3.0,1499000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,REALME,C53 128/6GB DUAL NFC LTE,3.0,2099000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,REDMI,12 128/8GB DUAL LTE,1.0,1999000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,REDMI,12 256/8GB DUAL LTE,3.0,2199000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,REDMI,13C 128/6GB DUAL NFC LTE,3.0,1500000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,REDMI,13C 256/8GB DUAL NFC LTE,4.0,1900000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,REDMI,A3 128/4GB DUAL LTE,1.0,1500000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",4.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,REDMI,NOTE 12 128/6GB DUAL NFC LTE,3.0,2750000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,REDMI,NOTE 12 128/8GB DUAL NFC LTE,1.0,2950000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,REDMI,NOTE 12 PRO 128/6GB DUAL NFC LTE,2.0,3400000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,REDMI,NOTE 12 PRO 256/8GB DUAL NFC 5G,2.0,4250000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,SAMSUNG,GALAXY A05 64/4GB SMA055F DUAL LTE,9.0,1499000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",4.0,64.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,SAMSUNG,GALAXY A05S 128/6GB SMA057F DUAL LTE,5.0,2299000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,SAMSUNG,GALAXY A14 128/6GB SMA145F DUAL NFC LTE,1.0,2499000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",6.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,SAMSUNG,GALAXY A15 128/8GB SMA155F DUAL NFC LTE,4.0,2899000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,SAMSUNG,GALAXY A15 256/8GB SMA156E DUAL NFC 5G,4.0,3299000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,SAMSUNG,GALAXY A24 128/8GB SMA245F DUAL NFC LTE,1.0,3499000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,SAMSUNG,GALAXY A25 128/8GB SMA256E DUAL NFC 5G,6.0,3999000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,0,Entry Level
2403M,Maret 2024,17 PHONE,PHABLETS,SAMSUNG,GALAXY A25 256/8GB SMA256E DUAL NFC 5G,1.0,4399000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,2,Mid-Range
2403M,Maret 2024,17 PHONE,PHABLETS,SAMSUNG,GALAXY A54 128/8GB SMA546E DUAL NFC 5G,1.0,5999000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,128.0,2,Mid-Range
2403M,Maret 2024,17 PHONE,PHABLETS,VIVO,V29E 256/8GB DUAL NFC 5G,1.0,4399000.0,Mobile Phone Specialists,LARGE,CENTRAL JAVA,"SEMARANG, KOTA",8.0,256.0,2,Mid-Range
